餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
食為天麵食館,麵食,中山站,價格不貴；推薦者心中前三名麵店,chunchunloveyou,https://www.threads.com/@chunchunloveyou/post/DbAF8Umk8El,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,chunchunloveyou 1天 食為天麵食館，不貴在中山站 心中前三名麵店😻
食徒,麻辣鍋,,推薦牛尾湯底罌粟麻辣鍋,giyohuang,https://www.threads.com/@giyohuang/post/DbAdPQFoBdI,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,giyohuang 1天 食徒-牛尾湯底罌粟麻辣鍋！
夏綠沁,,,,chyochyo__,https://www.threads.com/@chyochyo__/post/DbACfWWkgnv,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,chyochyo__ 1天 夏綠沁！銀島一番！
破壞者咖啡食堂,咖啡／食堂,,,cccccccandice_,https://www.threads.com/@cccccccandice_/post/Da_0J7rk7Du,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,cccccccandice_ 1天 破壞者咖啡食堂
索菲亞新疆美食,新疆料理,中崙市場,推薦乾拌麵系列,torrence_tien,https://www.threads.com/@torrence_tien/post/DbBl_rDkoGx,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,torrence_tien 13小時 1. 三重的台灣蕃薯（賣可頌）。不至於沒吃到會覺得此生枉然的程度，但是已經回訪N次，吃過很多口味，全部都好吃，價格還很實惠。 2. 板橋的小喬新疆羊肉串（大盤雞） 適合小鳥胃： 三和夜市的新疆乾拌麵（大盤雞麵） 中崙市場，索菲亞新疆美食的乾拌麵系列 3. 三和夜市文化北路的趙平米苔目，不是神級美味，但整體很不錯，目前同類的冰店找不到對手
臭大蔬,臭豆腐／蔬食,三重國小捷運站出口,,yun276888,https://www.threads.com/@yun276888/post/DbAwvF0k6lP,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,yun276888 21小時 三重國小捷運出口 臭大蔬！
高記,中菜／點心,,味道多年穩定,jeromesung,https://www.threads.com/@jeromesung/post/DbA-mH-lbKc,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jeromesung 19小時 金雞園、高記、誠記（越南麵食）、趙記（菜肉餛吞） 這幾家符合我的40年味道不變的基本原則 排骨飯跟牛肉麵各有一家N刷，主要也是因為他們40年沒有改變味道是我的重點，這兩項最容易有人硬要放「那家不好吃這家才好吃」 的留言就算了不放
康樂意包子,包子／小吃,,,jiawenqing0707,https://www.threads.com/@jiawenqing0707/post/Da-VGK5kRJD,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jiawenqing0707 1天 康乐意包子
梅子餐廳,鰻魚飯,,推薦鰻魚飯,hsiao.0316,https://www.threads.com/@hsiao.0316/post/DbAULO-IB2O,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hsiao.0316 1天 梅子餐廳鰻魚飯
涮武鶴,火鍋,,,gihiliki,https://www.threads.com/@gihiliki/post/Da_DUMDkk6K,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,gihiliki 1天 涮武鶴 極鶴 Nagomi
野草居食屋,居酒屋,台北市中正區同安街28巷1號,氛圍好；17:00–23:30,richflute,https://www.threads.com/@richflute/post/DbAT5j3ARfJ,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,richflute 野草居食屋 1天 野草居食屋~~~氛圍超好的居酒屋！九月好像要整修了，要快點找機會去吃！ ⏰營業時間：17:00–23:30 📍店面地址：台北市中正區同安街28巷1號 📞客服專線：(02)2366-0618（電話回覆 15:30–23:00）
章邖,義大利麵,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
麥當勞 台北南京五餐廳,速食,台北南京五餐廳,,lcl810202,https://www.threads.com/@lcl810202/post/DbA1WQgE2F-,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,lcl810202 20小時 麥當勞-台北南京五餐廳
麻皇麻辣火鍋,麻辣鍋,,最近愛上,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
創作麵坊·鮭之大助,麵食,,,yang_yang._.0114,https://www.threads.com/@yang_yang._.0114/post/DbCVBvkmDMl,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,yang_yang._.0114 6小時 創作麵坊·鮭之大助
勞瑞斯,西餐,信義區,,sirius0830,https://www.threads.com/@sirius0830/post/Da_H7I9E5Sc,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,sirius0830 1天 天母大爺..老闆夫婦退休了 信義勞瑞斯
圍爐酸菜白肉火鍋,酸菜白肉火鍋,台北市,從小吃到大,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
港豐撈麵飯堂,港式點心,板橋新海路,現場排隊；招牌常於晚間售罄,myangel727,https://www.threads.com/@myangel727/post/DbBvqAtE6s1,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,myangel727 12小時 我心目中港式點心的第一名： 港豐撈麵飯堂（板橋新海路） 每次17：00前門口就開始排一堆人 不能預訂位置 完全只能現場用實力排隊 晚餐時間，即便是平日 大約19：00左右 招牌菜色就差不多都賣光了 雖然後來加開了午市時間 有分流了部分的客人 但晚餐時間去吃還是很搶手
游壽司,壽司,,回訪多次,momo880603,https://www.threads.com/@momo880603/post/DbAbhWBAcba,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,momo880603 1天 應該能算好吃的吃過很多... 認真講是後山埤石二鍋 一模一樣的味道其實對餐廳來說不簡單 旭集吃過大概十次 可是其實就連一樣的甜點都會有不一樣的味道 這家石二鍋看著一般但這個品控很可以 就連蠻喜歡也是吃過n次的游壽司 可能都點炙燒，味道就會有些許差異
湄河泰國料理,泰國料理,,,steve19910209,https://www.threads.com/@steve19910209/post/DbBadQckwnJ,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,steve19910209 15小時 湄河泰國料理
湘八老,湘菜,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
滋立 Mizu,日式鍋物／壽喜燒／握壽司,中山晶華酒店旁,店家自薦,zilyhotpot,https://www.threads.com/@zilyhotpot/post/Da-bexZD1UZ,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,zilyhotpot 1天 你好 滋立Mizu來自薦啦 我們專做日式鍋物 壽喜燒跟握壽司😎 就在中山晶華酒店旁 歡迎來訂位一波💪
發肉燒肉,燒肉,,,walo.wu,https://www.threads.com/@walo.wu/post/DbAlkttiZ4k,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,walo.wu 23小時 發肉燒肉 如嬌花膠雞
貳房鍋物,火鍋,北投,,eggwang84129,https://www.threads.com/@eggwang84129/post/DbA5NlqGVVK,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,eggwang84129 20小時 北投 貳房鍋物 葫洲 精緻鈺葉火鍋
雲之南,雲南料理,,,__dinosaur_girl__,https://www.threads.com/@__dinosaur_girl__/post/DbBfoNYE3xT,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,__dinosaur_girl__ 14小時 雲之南 品冠客家小館
雲錦中,中菜,,,kevin_oneofzero,https://www.threads.com/@kevin_oneofzero/post/Da-ZZxNnzDk,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,kevin_oneofzero 1天 雲錦中
黃金麵線,麵線,台北市松山區民權東路三段160巷15號,,foodieqoo,https://www.threads.com/@foodieqoo/post/DbANXN6AUAc,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,foodieqoo 1天 黃金麵線，臺北市松山區民有里民權東路三段160巷15號
黑武士,,,,s9210222,https://www.threads.com/@s9210222/post/Da-rMy5lOks,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,s9210222 1天 黑武士
塩琉拉麵,拉麵,,留言串後續更正店名為塩琉,__liwennn,https://www.threads.com/@__liwennn/post/Da_s79vj9cO,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,__liwennn 1天 鹽珫拉麵！不愛吃拉麵的我完全對他大改觀
極品豆花,豆花,三重,,superfish9999,https://www.threads.com/@superfish9999/post/DbCei1lEzA3,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,superfish9999 5小時 三重「極品豆花」 翻譯
